Key,Summary,Priority,Status,Fix Version/s,Components,Description,Assignee,Created,Updated
NAS-135115,Support for account policy settings in TrueNAS Enterprise environments,High,Done,25.04.1,Middleware,"Add support for password history, complexity, and aging policies",John Doe,2024-03-15,2024-05-27
NAS-127189,Add PAM-based session management for middleware,Medium,Done,25.04.1,Authentication,Implement PAM session management for STIG compliance,Jane Smith,2024-02-10,2024-05-27
NAS-135183,Remove support for BOTH in share ACLs,Medium,Done,25.04.1,Storage,Clean up ACL implementation by removing BOTH option,Bob Johnson,2024-03-20,2024-05-27
NAS-135394,Persist updated GMail OAuth refresh token,Low,Done,25.04.1,Email,Prevent deauthentication by persisting refresh tokens,Alice Brown,2024-03-25,2024-05-27
NAS-135371,Allow the same host path to be mounted inside multiple containers,Medium,Done,25.04.1,Instances,Enable shared host path mounting for containers,Charlie Wilson,2024-03-22,2024-05-27
NAS-135904,ARC scaling and eviction fixes,High,Done,25.04.1,Storage,Prevent VM crashes due to OOM errors,David Lee,2024-04-01,2024-05-27
NAS-135098,Enhanced robustness of the Instances screen,Medium,Done,25.04.1,UI,Handle edge-case configurations better in UI,Emma Davis,2024-03-18,2024-05-27
NAS-135375,Add a synthetic container root user,Medium,Done,25.04.1,Instances,Add built-in unprivileged root user for containers,Frank Miller,2024-03-24,2024-05-27
NAS-134963,Improved error handling when instance ports conflict,Low,Done,25.04.1,Instances,Better validation for port conflicts with services,Grace Taylor,2024-03-12,2024-05-27
NAS-135475,Prevent accidental deletion of built-in idmap entries,Medium,Done,25.04.1,Directory Services,Protect system idmap entries from deletion,Henry Wang,2024-03-28,2024-05-27
NAS-135308,Improved validation for attaching and removing zvols,Medium,Done,25.04.1,Storage,Better validation for zvol operations with instances,Iris Chen,2024-03-26,2024-05-27
NAS-135663,Increase middlewared.service timeout,Low,Done,25.04.1,Middleware,Prevent boot failure on systems with slow drives,Jack Anderson,2024-04-02,2024-05-27
NAS-135527,Fix JSON decode crash in smartctl output,Medium,Done,25.04.1,Storage,Fix disk temperature reporting issues,Kelly Rodriguez,2024-03-30,2024-05-27
NAS-135361,Fix TrueNAS UI authentication with IPv6,Low,Done,25.04.1,Authentication,Support IPv6 entries in Allowed IP Addresses,Liam Martinez,2024-03-29,2024-05-27
